name,maternal,infant,life_exp,region
Japan,3,1.9,85.2,East and Southeast Asia
Spain,3,2.4,83,Europe
North Macedonia,3,7,77.3,Europe
Iceland,3,1.6,84,Europe
Czechia,3,2.6,78.6,Europe
Croatia,3,8.4,77.7,Europe
United Arab Emirates,3,5,79.9,Middle East
Slovenia,3,1.5,82.2,Europe
Australia,2,2.9,83.5,Australia and Oceania
Israel,2,2.8,83.1,Middle East
Poland,2,4.9,76.7,Europe
Belarus,1,2.1,74.7,Europe
Norway,1,1.8,82.9,Europe
Cook Islands,0,15.1,77.6,Australia and Oceania
